,StateName,stateabb,ST_CODE,PC_CODE,bigstate,PCNAME,pc_name_n,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,representation
133,Haryana,HR,S07,7,1.0,Rohtak,Rohtak,850127.0,717381.0,1567508.0,578206.0,465772.0,1043978.0,2014.0,0.0
134,Haryana,HR,S07,8,1.0,Bhiwani-Mahendragarh,Bhiwani - Mahendragarh,792166.0,681746.0,1473912.0,559428.0,470289.0,1029717.0,2014.0,1.0
135,Haryana,HR,S07,9,1.0,Gurgaon,Gurgaon,984370.0,860536.0,1844906.0,727100.0,593187.0,1320287.0,2014.0,0.0
136,Haryana,HR,S07,10,1.0,Faridabad,Faridabad,969407.0,770945.0,1740352.0,651241.0,479430.0,1130671.0,2014.0,0.0
137,Himachal Pradesh,HP,S08,1,2.0,Kangra,Kangra,645888.0,612713.0,1258601.0,389575.0,408414.0,797989.0,2014.0,1.0
138,Himachal Pradesh,HP,S08,2,2.0,Mandi,Mandi,587833.0,562575.0,1150408.0,377093.0,347977.0,725070.0,2014.0,1.0
139,Himachal Pradesh,HP,S08,3,2.0,Hamirpur,Hamirpur,633572.0,614126.0,1247699.0,394620.0,438467.0,833087.0,2014.0,1.0
140,Himachal Pradesh,HP,S08,4,2.0,Shimla,Shimla,607137.0,546225.0,1153363.0,403062.0,333715.0,736777.0,2014.0,1.0
141,Jammu & Kashmir,JK,S09,1,2.0,Baramulla,Baramula,624014.0,566724.0,1190766.0,256288.0,209691.0,465979.0,2014.0,1.0
142,Jammu & Kashmir,JK,S09,2,2.0,Srinagar,Srinagar,631520.0,575702.0,1207230.0,178779.0,133429.0,312208.0,2014.0,1.0
143,Jammu & Kashmir,JK,S09,3,2.0,Anantnag,Anantnag,685000.0,616104.0,1301143.0,211595.0,163643.0,375238.0,2014.0,1.0
144,Jammu & Kashmir,JK,S09,4,2.0,Ladakh,Leh (Ladakh),86256.0,80503.0,166763.0,57162.0,60002.0,117164.0,2014.0,1.0
145,Jammu & Kashmir,JK,S09,5,2.0,Udhampur,Udhampur,787637.0,681434.0,1469072.0,556791.0,484338.0,1041130.0,2014.0,1.0
146,Jammu & Kashmir,JK,S09,6,2.0,Jammu,Jammu,977308.0,870834.0,1848155.0,665098.0,587601.0,1252699.0,2014.0,0.0
147,Karnataka,KA,S10,1,1.0,Chikkodi,Chikkodi,746023.0,696120.0,1442206.0,564052.0,506614.0,1070668.0,2014.0,1.0
148,Karnataka,KA,S10,2,1.0,Belgaum,Belgaum,807485.0,773259.0,1580895.0,569642.0,508074.0,1077716.0,2014.0,0.0
149,Karnataka,KA,S10,3,1.0,Bagalkot,Bagalkot,793354.0,775172.0,1568633.0,561494.0,517311.0,1078805.0,2014.0,0.0
150,Karnataka,KA,S10,4,1.0,Bijapur,Bijapur,847815.0,774643.0,1622635.0,521090.0,445637.0,966734.0,2014.0,0.0
151,Karnataka,KA,S10,5,1.0,Gulbarga,Gulbarga,878311.0,843454.0,1721990.0,522778.0,474347.0,997125.0,2014.0,0.0
152,Karnataka,KA,S10,6,1.0,Raichur,Raichur,835969.0,825327.0,1661606.0,501122.0,467391.0,968513.0,2014.0,0.0
153,Karnataka,KA,S10,7,1.0,Bidar,Bidar,839154.0,761738.0,1600962.0,508036.0,454615.0,962652.0,2014.0,0.0
154,Karnataka,KA,S10,8,1.0,Koppal,Koppal,770316.0,764694.0,1535105.0,526117.0,480597.0,1006716.0,2014.0,1.0
